index:ID,name,:LABEL
500001,上海,Area
500002,云南,Area
500003,内蒙,Area
500004,北京,Area
500005,吉林,Area
500006,四川,Area
500007,天津,Area
500008,宁夏,Area
500009,安徽,Area
500010,山东,Area
500011,山西,Area
500012,广东,Area
500013,广西,Area
500014,新疆,Area
500015,江苏,Area
500016,江西,Area
500017,河北,Area
500018,河南,Area
500019,浙江,Area
500020,海南,Area
500021,深圳,Area
500022,湖北,Area
500023,湖南,Area
500024,甘肃,Area
500025,福建,Area
500026,西藏,Area
500027,贵州,Area
500028,辽宁,Area
500029,重庆,Area
500030,陕西,Area
500031,青海,Area
500032,黑龙江,Area
